Country,Year,WaterTech,TradeGDP,RegTime,GDP,Employers,WaterStress
Algeria,2013,1,63.61102602,55,13329.77076,4.105999947,0.352988615
Algeria,2015,1,59.69508036,55,13774.75892,4.356999874,0.354995843
"Cabo Verde",2005,1,104.3438399,83,4759.132611,3.072999954,0.273729724
Cameroon,2010,1,49.12385531,93,2876.429105,2.683000088,0.339380778
Egypt,2005,5,62.95264624,195,8136.544631,14.70400047,0.416132896
Egypt,2011,2,45.25563416,89,9982.845702,15.71000004,0.423075003
Egypt,2012,4,40.71176927,89,9981.551961,15.68299961,0.423364654
Egypt,2013,2,40.37303806,79,9970.975766,12.55900002,0.423447266
Egypt,2015,6,34.84594296,76,10242.53436,11.94699955,0.424233608
Egypt,2016,1,30.24654905,76,10460.90642,10.40999985,0.424233608
Guinea,2016,1,111.8394625,44,2007.370105,2.071000099,0.318797157
Kenya,2014,2,51.29830551,72,2713.300271,0.368000001,0.500486222
Kenya,2016,1,37.6471805,61,2891.487154,0.238999993,0.500620882
Madagascar,2010,2,57.87489451,100,1616.104219,2.170000076,0.464157878
Morocco,2005,2,67.91485449,78,5373.032281,2.483999968,0.290822897
Morocco,2011,2,83.42680017,76,6703.876831,2.382999897,0.262309363
Morocco,2012,1,85.12491729,76,6809.832434,2.655999899,0.261204746
Morocco,2013,2,80.02055856,61,7018.236715,2.642999887,0.260307167
Morocco,2014,2,81.77227419,41,7104.525483,2.538000107,0.260030707
Morocco,2015,1,77.19803634,31,7324.986823,2.559999943,0.259961286
"South Africa",2005,8,53.14911539,23,10994.8783,7.84100008,0.299170703
"South Africa",2011,3,60.1126299,23,12179.17419,5.547999859,0.300800563
"South Africa",2012,4,60.89969944,23,12253.21736,5.328000069,0.301007612
"South Africa",2013,3,64.24175982,23,12357.69869,5.335999966,0.301214662
"South Africa",2014,1,64.43450111,23,12388.25666,5.302999973,0.30044984
"South Africa",2015,3,61.61707348,23,12345.9288,5.159999847,0.299685019
"South Africa",2016,10,60.63818805,23,12214.95477,5.53000021,0.299685019
Tunisia,2010,1,104.1486333,40,10440.96495,6.743000031,0.367350894
Tunisia,2011,1,104.5290748,40,10139.13146,5.835999966,0.368380074
